cpse,legacy_code,description,category,specification,uom
CPCL,CPCL-PIP-1380,SS316 Pipe 50 MM NB Sch40,Pipe,"50 NB, Sch40, Seamless",
CPCL,???,Spiral Wound Gasket 4in 150#,Gasket,"4in, 150#, SS316+Graphite",EA
CPCL,CPCL-CBL-1388,Control Cable 12Cx2.5sq MM,Cable,"12Cx2.5 Cu, Unarm",NOS
IOCL,IOCL/PMP/1303,Slurry Pump 4 Inch HNBR,Pump,"100mm, HNBR lined",EA
SAIL,SAIL/VLV/1310,Ball Valve 80mm AISI 304 Class 300,Valve,"SS304, Class 300, Screwed",EA
ONGC,ONGC-MTR-1369,INDUCTION MOTOR 15KW 4P IE3,Motor,"15kW, 4P, 415V, IE3",PCS
CPCL,CPCL_MTR_1389,DC Motor 5kW 1500rpm,Motor,"5kW, 220V DC",NOS
CIL,CIL-PIP-1309,SS316 Pipe 50mm NB Sch40,Pipe,"50 NB, Sch40, Seamless",MTR
CPCL,CPCL-MTR-1396,Flameproof Motor 30kW Exd,Motor,"30kW, Exd IIB, 415V",EA
NTPC,NTPC-PMP-1396,Centrifugal - Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",EA
IOCL,IOCL-PMP-1307,Submersible Pump 10HP 4 Inch,Pump,"10HP, 100mm bore, 3ph",SET
IOCL,IOCL/VLV/1313,Gate Valve 4 Inch Carbon Steel Class 150,Valve,"CS, 150#, Flanged",NOS
ONGC,ONGC/PMP/1375,MULTISTAGE PUMP 65X50 30KW,Pump,"65x50, 30kW, 8 stage",SET
IOCL,IOCL-MTR-1316,DC Motor 5kW 1500rpm,Motor,"5kW, 220V DC",NOS
ONGC,ONGC/VLV/1381,DIAPHRAGM VALVE 80MM PP,Valve,"PP body, EPDM diaphragm",PCS
ONGC,ONGC_VLV_1384,FOOT VALVE 100MM CI,Valve,"CI, Flanged, With strainer",NOS
IOCL,IOCL_VLV_1319,Gate Valve 12 Inch Carbon Steel 300#,Valve,"CS, 300#, RTJ",PCS
CIL,CIL-BRG-1315,Thrust BALL BRG 51108,Bearing,40x60x13,EA
CIL,CIL-BRG-1320,Spherical Roller BRG 22218,Bearing,90x160x40,PCS
SAIL,SAIL-PIP-1315,HDPE Pipe 110mm PN10,Pipe,"110mm OD, PN10, PE100",M
CIL,CIL_CBL_1321,XLPE Cable 3Cx120sqmm 1.1kV,Cable,"3Cx120, Al, Armoured",M
SAIL,SAIL_PMP_1317,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",PCS
CIL,CIL_VLV_1322,BALL VLV 50mm Brass Screwed,Valve,"Brass, Screwed BSP",PCS
IOCL,IOCL-CBL-1320,Control  Cable 12Cx2.5sqmm,Cable,"12Cx2.5 Cu, Unarm",NOS
SAIL,SAIL-BRG-1320,Taper Roller Bearing 32210,,50x90x24.75,PCS
ONGC,ONGC-CBL-1390,XLPE CABLE 3CX120SQMM 1.1KV,Cable,"3Cx120, Al, Armoured",M
CIL,CIL/VLV/1327,Safety Relief VLV 50mm SS,Valve,"SS, Set 10 barg, Flanged",PCS
SAIL,SAIL_PIP_1322,"MS, Pipe 100mm NB ERW",Pipe,"100 NB, ERW, 6m",M
IOCL,IOCL/VLV/1325,Needle Valve 25mm SS316 6000psi,Valve,"SS316, 6000 psi, NPT",PCS
CIL,CIL-VLV-1328,Needle VLV 25mm SS316 6000psi,Valve,"SS316, 6000 psi, NPT",NOS
SAIL,SAIL/VLV/1325,Globe Valve 65mm CS 150#,Valve,"CS, 150#, Flanged",PCS
NTPC,NTPC_PIP_1399,MS Pipe 100mm NB ERW,Pipe,"100 NB, ERW, 6m",MTR
CPCL,CPCL/VLV/1400,Butterfly Valve 200 MM CI PN16,Valve,"CI, PN16, Wafer",
CPCL,CPCL-FLG-1402,Blind Flange 50 MM 300# SS316,Flange,"50 NB, 300#, SS316",
SAIL,SAIL_VLV_1330,Knife Gate Valve 250mm SS,Valve,"SS gate, PN10, Lug",EA
SAIL,SAIL/VLV/1333,Globe Valve 65mm CS 150#,Valve,"CS, 150#, Flanged",EA
CPCL,CPCL/VLV/1404,Knife Gate Valve 250 MM SS,Valve,"SS gate, PN10, Lug",PCS
ONGC,ONGC/PMP/1395,SCREW PUMP 5M3/HR SS,Pump,"5 m3/hr, SS wetted",NOS
NTPC,NTPC-PMP-1406,Slurry Pump 100mm HNBR,Pump,"100mm, HNBR lined",SET
CIL,CIL_MTR_1331,Flameproof Motor 30kW Exd,Motor,"30kW, Exd IIB, 415V",NOS
IOCL,IOCL/VLV/1331,Gate Vlve 2 Inch SS316 PN40,Valve,"SS316, PN40, Flanged RF",NOS
NTPC,NTPC-PIP-1409,SS316 Pipe 50mm NB Sch40,Pipe,"50 NB, Sch40, Seamless",M
SAIL,SAIL-PMP-1339,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",NOS
SAIL,SAIL_VLV_1345,Gate Valve 100mm CS Class 150,Valve,"CS, 150#, Flanged",EA
SAIL,SAIL/PIP/1349,"HDPE, Pipe 110mm PN10",Pipe,"110mm OD, PN10, PE100",M
CPCL,CPCL_VLV_1407,Safety Relief Valve 50 MM SS,Valve,"SS, Set 10 barg, Flanged",NOS
CIL,CIL_PMP_1338,Gear Pump 2inch CI,Pump,"2 inch, CI, 1440rpm",NOS
CPCL,CPCL-CBL-1413,XLPE Cable 3Cx120sq MM 1.1kV,Cable,"3Cx120, Al, Armoured",M
IOCL,IOCL/GSK/1338,Spiral Wound Gasket 4in 150#,Gasket,"4in, 150#, SS316+Graphite",PCS
ONGC,ONGC_CBL_1401,XLPE CABLE 3CX120SQMM 1.1KV,Cable,"3Cx120, Al, Armoured",MTR
CPCL,CPCL-PMP-1419,Submersible Pump 10HP 100 MM,Pump,"10HP, 100mm bore, 3ph",SET
ONGC,ONGC_VLV_1408,GATE VALV 150MM CS 300#,Valve,"CS, 300#, RTJ",NOS
CPCL,CPCL_PIP_1424,CS Pipe 150 MM NB Sch80,Pipe,"150 NB, Sch80, API 5L",MTR
ONGC,ONGC/VLV/1413,GATE VALV 200MM CI PN10,Valve,"CI, PN10, Flanged",NOS
CPCL,CPCL_PIP_1426,CS Pipe 150 MM NB Sch80,Pipe,"150 NB, Sch80, API 5L",M
ONGC,ONGC-CBL-1416,XLPE CABLE 3CX120SQMM 1.1KV,Cable,"3Cx120, Al, Armoured",MTR
SAIL,SAIL_VLV_1354,Gate Valve 100mm CS Class 150,Valve,"CS, 150#, Flanged",PCS
SAIL,SAIL-FLG-1359,WN Flange 100mm 150# CS,Flange,"100 NB, 150#, A105",NOS
IOCL,IOCL_VLV_1344,Plug Valve 4 Inch Carbon Steel PTFE,Valve,"CS+PTFE sleeve, 150#",EA
SAIL,SAIL-BRG-1362,Spherical Roller Bearing 22218,Bearing,90x160x40,PCS
IOCL,IOCL/FLG/1351,Blind Flange 2 Inch 300# SS316,Flange,"50 NB, 300#, SS316",EA
CIL,CIL-GSK-1341,Ring Joint Gasket R37 SS316,Gasket,"R37, Octagonal, SS316",NOS
CPCL,CPCL-FST-1431,Hex Bolt M20x80 8.8 HDG,Fastener,"M20x80, Gr 8.8, HDG+nut",SET
IOCL,IOCL/CBL/1356,HT Cable 3Cx300 11kV,Cable,3Cx300 Al XLPE 11kV,NOS
IOCL,IOCL/FLG/1357,Slipon Flange 3 Inch PN16,Flange,"80 NB, PN16, MS",NOS
IOCL,IOCL-VLV-1358,Gate Valve 12 Inch Carbon Steel 300#,Valve,"CS, 300#, RTJ",NOS
IOCL,IOCL-VLV-1365,Gate Valve 4 Inch Carbon Steel Class 150,Valve,"CS, 150#, Flanged",PCS
CIL,CIL_VLV_1346,Foot VLV 100mm CI,Valve,"CI, Flanged, With strainer",PCS
ONGC,ONGC_PIP_1418,HDPE PIPE 110MM PN10,Pipe,"110mm OD, PN10, PE100",NOS
CIL,CIL/BRG/1348,Needle Roller BRG NK45/35,Bearing,45x55x35,EA
NTPC,NTPC_PMP_1410,Gear Pump 2inch CI,Pump,"2 inch, CI, 1440rpm",PCS
SAIL,SAIL_PMP_1368,"Gear, Pump 2inch CI",Pump,"2 inch, CI, 1440rpm",NOS
CIL,CIL-VLV-1352,Globe VLV 65mm CS 150#,Valve,"CS, 150#, Flanged",NOS
CIL,CIL/FST/1358,Hex  Bolt M20x80 8.8 HDG,Fastener,"M20x80, Gr 8.8, HDG+nut",EA
SAIL,SAIL_FST_1372,Hex Bolt M20x80 8.8 HDG,Fastener,"M20x80, Gr 8.8, HDG+nut",EA
IOCL,IOCL-VLV-1367,Plug Valve 4 Inch Carbon Steel PTFE,Valve,"CS+PTFE sleeve, 150#",PCS
CPCL,CPCL-VLV-1432,Gate Valve 150 MM CS 300#,Valve,"CS, 300#, RTJ",
NTPC,NTPC_VLV_1411,Ball Valve 80mm SS304 Class 300 RF,Valve,"SS304, Class 300, Screwed",EA
ONGC,ONGC-VLV-1419,CHECK VALVE 150MM CS CL 150,Valve,"CS, NACE, Flanged",PCS
IOCL,IOCL/PIP/1373,SS316 Pipe 2 Inch NB Sch40,Pipe,"50 NB, Sch40, Seamless",MTR
CPCL,CPCL-PIP-1433,CS Pipe 150 MM NB Sch80,Pipe,"150 NB, Sch80, API 5L",M
CIL,CIL_VLV_1365,Needle VLV 25mm SS316 6000psi,Valve,"SS316, 6000 psi, NPT",NOS
CPCL,CPCL-CBL-1437,HT Cable 3Cx300 11kV,Cable,3Cx300 Al XLPE 11kV,M
CPCL,CPCL_FLG_1441,Blind Flange 50 MM 300# SS316,Flange,"50 NB, 300#, SS316",NOS
CIL,CIL/PMP/1366,Vertical Turbine Pump 200mm,Pump,"200mm column, 75kW",EA
SAIL,SAIL_BRG_1374,Spherical Roller Bearing 22218,Bearing,90x160x40,PCS
SAIL,SAIL-VLV-1377,Foot Valve 100mm CI,Valve,"CI, Flanged, With strainer",NOS
IOCL,IOCL/MTR/1377,Induction Motor 15kW 4P IE3,Motor,"15kW, 4P, 415V, IE3",NOS
CIL,CIL-GSK-1373,Spiral Wound Gasket 4in 150#,Gasket,"4in, 150#, SS316+Graphite",EA
CPCL,CPCL_VLV_1447,Foot Valve 100 MM CI,Valve,"CI, Flanged, With strainer",PCS
CIL,CIL-GSK-1377,Ring Joint Gasket R37 SS316,Gasket,"R37, Octagonal, SS316",PCS
CPCL,CPCL/PMP/1454,Centrifugal Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",SET
SAIL,SAIL_VLV_1382,Plug Vlve 100mm CS PTFE,Valve,"CS+PTFE sleeve, 150#",NOS
CPCL,CPCL/BRG/1457,Thrust Ball Bearing 51108,Bearing,40x60x13,PCS
ONGC,ONGC/PMP/1426,VERTICAL TURBINE PUMP 200MM,Pump,"200mm column, 75kW",EA
CPCL,CPCL-PIP-1460,CS Pipe 150 MM NB Sch80,Pipe,"150 NB, Sch80, API 5L",NOS
ONGC,ONGC/VLV/1427,DIAPHRAGM VALVE 80MM PP,Valve,"PP body, EPDM diaphragm",PCS
CPCL,CPCL-PMP-1462,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",PCS
CIL,CIL-MTR-1378,DC Motor 5kW 1500rpm,Motor,"5kW, 220V DC",EA
NTPC,NTPC_VLV_1412,Diaphragm Valve 80mm PP RF,Valve,"PP body, EPDM diaphragm",PCS
IOCL,IOCL/VLV/1379,Globe Valve 65mm Carbon Steel 150#,Valve,"CS, 150#, Flanged",NOS
IOCL,IOCL_PMP_1380,Centrifugal Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",SET
CIL,CIL-PMP-1383,Vertical Turbine Pump 200mm,Pump,"200mm column, 75kW",SET
IOCL,IOCL-PMP-1386,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",NOS
SAIL,SAIL_GSK_1388,Spiral Wound Gasket 4in 150#,Gasket,"4in, 150#, SS316+Graphite",EA
CIL,CIL/VLV/1384,Knife GATE VLV 250mm SS,Valve,"SS gate, PN10, Lug",PCS
NTPC,NTPC_VLV_1418,Globe Valve 65mm CS 150# RF,Valve,"CS, 150#, Flanged",NOS
CPCL,CPCL-PMP-1466,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",PCS
NTPC,NTPC-VLV-1422,Diaphragm Vlve 80mm PP RF,Valve,"PP body, EPDM diaphragm",NOS
SAIL,SAIL_MTR_1392,DC  Motor 5kW 1500rpm,Motor,"5kW, 220V DC",NOS
NTPC,NTPC_PMP_1424,Centrifugal Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",SET
CIL,CIL/PMP/1391,Gear Pump 2inch CI,Pump,"2 inch, CI, 1440rpm",PCS
ONGC,ONGC_BRG_1433,THRUST BALL BEARING 51108,Bearing,40x60x13,EA
NTPC,NTPC-VLV-1428,Safety Relief Valve 50mm SS RF,Valve,"SS, Set 10 barg, Flanged",PCS
NTPC,NTPC-GSK-1429,Ring Joint Gasket R37 SS316,Gasket,"R37, Octagonal, SS316",NOS
ONGC,ONGC-MTR-1439,INDUCTION MOTOR 15KW 4P IE3,Motor,"15kW, 4P, 415V, IE3",EA
CIL,CIL_VLV_1394,Safety Relief VLV 50mm SS,Valve,"SS, Set 10 barg, Flanged",PCS
CPCL,CPCL-VLV-1471,Butterfly Valve 200 MM CI PN16,Valve,"CI, PN16, Wafer",PCS
CPCL,CPCL-PMP-1472,Centrifugal Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",EA
SAIL,SAIL_VLV_1395,Ball Valve 50mm Brass Screwed,Valve,"Brass, Screwed BSP",EA
IOCL,IOCL/PMP/1390,Slurry Pump 4 Inch HNBR,Pump,"100mm, HNBR lined",EA
ONGC,ONGC_PMP_1441,GEAR PUMP 2INCH CI,Pump,"2 inch, CI, 1440rpm",EA
NTPC,NTPC_VLV_1436,Safety Relief Valve 50mm SS RF,Valve,"SS, Set 10 barg, Flanged",PCS
NTPC,NTPC-PMP-1438,Slurry Pump 100mm HNBR,Pump,"100mm, HNBR lined",EA
SAIL,SAIL_BRG_1400,Thrust Ball Bearing 51108,Bearing,40x60x13,EA
SAIL,SAIL-FST-1406,Hex Bolt M20x80 8.8 HDG,Fastener,"M20x80, Gr 8.8, HDG+nut",SET
CPCL,CPCL_FLG_1473,Slipon Flange 80 MM PN16,Flange,"80 NB, PN16, MS",PCS
ONGC,ONGC_VLV_1446,CHECK VALVE 150MM CS CL 150,Valve,"CS, NACE, Flanged",EA
SAIL,SAIL_GSK_1411,Spiral Wound Gasket 4in 150#,Gasket,"4in, 150#, SS316+Graphite",EA
ONGC,ONGC_VLV_1451,BUTTERFLY VALVE 200MM CI PN16,Valve,"CI, PN16, Wafer",NOS
IOCL,IOCL/PMP/1396,Submersible Pump 10HP 4 Inch,Pump,"10HP, 100mm bore, 3ph",SET
CPCL,CPCL/VLV/1478,Diaphragm Valve 80 MM PP,,"PP body, EPDM diaphragm",NOS
SAIL,SAIL/VLV/1417,Ball Valve 80mm AISI 304 Class 300,Valve,"SS304, Class 300, Screwed",EA
SAIL,SAIL-VLV-1420,Globe Valve 65mm CS 150#,Valve,"CS, 150#, Flanged",EA
NTPC,NTPC_VLV_1440,Gate Valve 200mm CI PN10 RF,Valve,"CI, PN10, Flanged",NOS
ONGC,ONGC-CBL-1458,XLPE CABLE 3CX120SQMM 1.1KV,Cable,"3Cx120, Al, Armoured",MTR
SAIL,SAIL_PMP_1426,Slurry Pump 100mm HNBR,Pump,"100mm, HNBR lined",EA
NTPC,NTPC_FLG_1445,Blind Flange 50mm 300# SS316,Flange,"50 NB, 300#, SS316",NOS
SAIL,SAIL/PMP/1433,Submersible Pump 10HP 100mm,Pump,"10HP, 100mm bore, 3ph",EA
NTPC,NTPC-MTR-1451,Flameproof Motor 30kW Exd,Motor,"30kW, Exd IIB, 415V",PCS
IOCL,IOCL_VLV_1397,Butterfly Valve 8 Inch CI PN16,,"CI, PN16, Wafer",EA
NTPC,NTPC/PMP/1457,Gear Pump 2inch CI,Pump,"2 inch, CI, 1440rpm",EA
CIL,CIL_VLV_1396,Needle VLV 25mm SS316 6000psi,Valve,"SS316, 6000 psi, NPT",PCS
NTPC,NTPC_MTR_1463,Induction Motor 15kW 4P IE3,Motor,"15kW, 4P, 415V, IE3",NOS
ONGC,ONGC/BRG/1461,THRUST BALL BEARING 51108,Bearing,40x60x13,PCS
ONGC,ONGC/VLV/1462,BALL VALVE 80MM SS304 CL 300,Valve,"SS304, Class 300, Screwed",EA
NTPC,NTPC/PMP/1468,Centrifugal  Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",SET
SAIL,SAIL_FLG_1437,WN Flange 100mm 150# CS,Flange,"100 NB, 150#, A105",EA
NTPC,NTPC-PMP-1472,Multistage Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",SET
NTPC,NTPC_PMP_1477,Slurry Pump 100mm HNBR,Pump,"100mm, HNBR lined",EA
ONGC,ONGC/VLV/1463,CHECK VALVE 150MM CS CL 150,Valve,"CS, NACE, Flanged",PCS
CPCL,CPCL/PMP/1481,Gear Pump 2inch CI,Pump,"2 inch, CI, 1440rpm",NOS
CPCL,CPCL/VLV/1488,Check - Valve 150 MM CS CL 150,Valve,"CS, NACE, Flanged",PCS
CPCL,CPCL_GSK_1489,Ring Joint Gasket R37 SS316,Gasket,"R37, Octagonal, SS316",PCS
IOCL,IOCL_PMP_1398,Multistage Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",SET
SAIL,SAIL/VLV/1444,Diaphragm Valve 80mm PP,Valve,"PP body, EPDM diaphragm",EA
ONGC,ONGC_VLV_1469,PLUG VALVE 100MM CS PTFE,Valve,"CS+PTFE sleeve, 150#",PCS
SAIL,SAIL-FST-1445,Hex Bolt M20x80 8.8 HDG,,"M20x80, Gr 8.8, HDG+nut",SET
IOCL,IOCL-PMP-1400,Multistage Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",SET
SAIL,SAIL-GSK-1450,Ring Joint Gasket R37 AISI 316,Gasket,"R37, Octagonal, SS316",NOS
IOCL,IOCL_VLV_1407,Safety Relief Valve 2 Inch SS,Valve,"SS, Set 10 barg, Flanged",PCS
CPCL,CPCL-VLV-1496,Gate Valve 100 MM CS CL 150,Valve,"CS, 150#, Flanged",EA
NTPC,NTPC_PMP_1480,Centrifugal Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",SET
CIL,???,Control Cable 12Cx2.5sqmm,Cable,"12Cx2.5 Cu, Unarm",MTR
CIL,CIL/BRG/1406,Plummer Block UCP210,Bearing,"50mm bore, CI housing",PCS
CIL,CIL/VLV/1410,Diaphragm VLV 80mm PP,Valve,"PP body, EPDM diaphragm",EA
NTPC,NTPC_BRG_1481,Taper Roller Bearing 32210,,50x90x24.75,EA
SAIL,SAIL/GSK/1455,Ring Joint Gasket R37 AISI 316,Gasket,"R37, Octagonal, SS316",PCS
ONGC,ONGC-FST-1476,HEX BOLT M20X80 8.8 HDG,Fastener,"M20x80, Gr 8.8, HDG+nut",EA
CPCL,CPCL/VLV/1500,Ball Valve 50 MM Brass Screwed,Valve,"Brass, Screwed BSP",EA
ONGC,ONGC-MTR-1478,DC MOTOR 5KW 1500RPM,Motor,"5kW, 220V DC",NOS
SAIL,SAIL-VLV-1459,Gate Valve 50mm AISI 316 PN40,Valve,"SS316, PN40, Flanged RF",PCS
ONGC,ONGC-CBL-1482,HT CABLE 3CX300 11KV,Cable,3Cx300 Al XLPE 11kV,M
NTPC,NTPC/PIP/1486,CS Pipe 150mm NB Sch80,Pipe,"150 NB, Sch80, API 5L",MTR
CPCL,CPCL-VLV-1502,Knife Gate Valve 250 MM SS,Valve,"SS gate, PN10, Lug",PCS
NTPC,NTPC-VLV-1489,Diaphragm Valve 80mm PP RF,Valve,"PP body, EPDM diaphragm",NOS
IOCL,IOCL-VLV-1412,Check Valve 12 Inch Carbon Steel Class 150,Valve,"CS, NACE, Flanged",NOS
NTPC,NTPC-VLV-1492,Gate Valve 50mm SS316 PN40 RF,Valve,"SS316, PN40, Flanged RF",PCS
IOCL,IOCL-VLV-1417,Gate Valve 2 Inch SS316 PN40,Valve,"SS316, PN40, Flanged RF",PCS
CIL,CIL/BRG/1411,Taper Roller BRG 32210,Bearing,50x90x24.75,PCS
NTPC,NTPC-CBL-1497,Control Cable 12Cx2.5sqmm,Cable,"12Cx2.5 Cu, Unarm",NOS
CIL,CIL/VLV/1412,Butterfly VLV 200mm CI PN16,Valve,"CI, PN16, Wafer",PCS
ONGC,ONGC-MTR-1486,FLAMEPROOF MOTOR 30KW EXD,Motor,"30kW, Exd IIB, 415V",PCS
CIL,CIL-VLV-1418,Check VLV 150mm CS Class 150,Valve,"CS, NACE, Flanged",EA
CPCL,CPCL_VLV_1507,Needle Valve 25 MM SS316 6000psi,Valve,"SS316, 6000 psi, NPT",PCS
CIL,CIL_VLV_1423,Diaphragm VLV 80mm PP,Valve,"PP body, EPDM diaphragm",NOS
CPCL,CPCL_VLV_1513,Knife Gate Valve 250 MM SS,Valve,"SS gate, PN10, Lug",PCS
IOCL,IOCL/PMP/1423,Centrifugal Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",SET
SAIL,SAIL-VLV-1462,Gate Valve 50mm AISI 316 PN40,Valve,"SS316, PN40, Flanged RF",EA
NTPC,NTPC_VLV_1503,Gate Valve 150mm CS 300# RF,Valve,"CS, 300#, RTJ",NOS
ONGC,ONGC-FST-1490,HEX BOLT M20X80 8.8 HDG,Fastener,"M20x80, Gr 8.8, HDG+nut",SET
IOCL,IOCL-VLV-1429,Gate Valve 4 Inch Carbon Steel Class 150,Valve,"CS, 150#, Flanged",NOS
NTPC,NTPC-PMP-1508,Vertical Turbine Pump 200mm,Pump,"200mm column, 75kW",EA
ONGC,ONGC-PMP-1497,CENTRIFUGAL PUMP 50X40 15KW,Pump,"50x40mm, 15kW, 2900rpm",EA
SAIL,SAIL_PIP_1467,MS Pipe 100mm NB ERW,Pipe,"100 NB, ERW, 6m",M
CPCL,CPCL/MTR/1516,Flameproof Motor 30kW Exd,Motor,"30kW, Exd IIB, 415V",NOS
IOCL,IOCL-VLV-1432,Safety Relief Valve 2 Inch SS,Valve,"SS, Set 10 barg, Flanged",EA
IOCL,IOCL-PIP-1437,HDPE - Pipe 110mm PN10,Pipe,"110mm OD, PN10, PE100",M
CPCL,CPCL/PIP/1518,GI Pipe 25 MM Medium,Pipe,"25mm, Medium, IS1239",M
NTPC,NTPC-CBL-1515,HT Cable 3Cx300 11kV,Cable,3Cx300 Al XLPE 11kV,M
SAIL,SAIL/PMP/1473,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",EA
CIL,CIL_VLV_1428,Diaphragm VLV 80mm PP,Valve,"PP body, EPDM diaphragm",NOS
CIL,CIL-VLV-1431,GATE VLV 100mm CS Class 150,Valve,"CS, 150#, Flanged",NOS
SAIL,SAIL_VLV_1478,Plug Valve 100mm CS PTFE,Valve,"CS+PTFE sleeve, 150#",EA
NTPC,NTPC_MTR_1516,Flameproof Motor 30kW Exd,Motor,"30kW, Exd IIB, 415V",EA
CIL,CIL_FLG_1433,Blind Flange 50mm 300# SS316,Flange,"50 NB, 300#, SS316",EA
NTPC,NTPC-BRG-1517,Needle Roller Bearing NK45/35,Bearing,45x55x35,PCS
IOCL,IOCL_VLV_1441,Ball Valve 3 Inch SS304 Class 300,Valve,"SS304, Class 300, Screwed",EA
NTPC,NTPC/FLG/1522,Blind Flange 50mm 300# SS316,Flange,"50 NB, 300#, SS316",NOS
CPCL,CPCL/VLV/1523,Safety Relief Valve 50 MM SS,Valve,"SS, Set 10 barg, Flanged",PCS
CPCL,CPCL/PMP/1524,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",PCS
ONGC,ONGC_VLV_1500,BUTTERFLY VALVE 200MM CI PN16,Valve,"CI, PN16, Wafer",PCS
NTPC,NTPC-VLV-1528,Gate Valve 200mm CI PN10 RF,Valve,"CI, PN10, Flanged",EA
CIL,CIL_VLV_1437,GATE VLV 100mm CS Class 150,Valve,"CS, 150#, Flanged",NOS
ONGC,ONGC_MTR_1506,INDUCTION MOTOR 15KW 4P IE3,Motor,"15kW, 4P, 415V, IE3",NOS
CIL,CIL/MTR/1438,DC  Motor 5kW 1500rpm,Motor,"5kW, 220V DC",EA
SAIL,SAIL_FLG_1479,Slipon Flange 80mm PN16,Flange,"80 NB, PN16, MS",NOS
SAIL,SAIL_PIP_1482,CS Pipe 150mm NB Sch80,Pipe,"150 NB, Sch80, API 5L",M
CPCL,CPCL-PMP-1525,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",PCS
IOCL,IOCL-VLV-1446,Foot  Valve 4 Inch CI,Valve,"CI, Flanged, With strainer",NOS
SAIL,SAIL-CBL-1488,HT Cable 3Cx300 11kV,Cable,3Cx300 Al XLPE 11kV,M
NTPC,NTPC/VLV/1534,Safety Relief Valve 50mm SS RF,Valve,"SS, Set 10 barg, Flanged",EA
CPCL,CPCL-FST-1528,Hex Bolt M20x80 8.8 HDG,Fastener,"M20x80, Gr 8.8, HDG+nut",SET
IOCL,IOCL/BRG/1447,Deep Groove Ball Bearing 6205,Bearing,"25x52x15, SKF/equiv",PCS
NTPC,NTPC-PMP-1535,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",PCS
ONGC,ONGC-PIP-1507,CS PIPE 150MM NB SCH80,Pipe,"150 NB, Sch80, API 5L",MTR
CPCL,CPCL_VLV_1530,Gate Vlve 100 MM CS CL 150,Valve,"CS, 150#, Flanged",NOS
CIL,CIL_PMP_1443,Multistage Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",SET
IOCL,IOCL_CBL_1449,Control Cable 12Cx2.5sqmm,Cable,"12Cx2.5 Cu, Unarm",MTR
CIL,CIL_PMP_1449,Gear Pump 2inch CI,Pump,"2 inch, CI, 1440rpm",NOS
NTPC,NTPC-PMP-1540,Submersible Pump 10HP 100mm,Pump,"10HP, 100mm bore, 3ph",EA
IOCL,IOCL_VLV_1452,Globe Valve 65mm Carbon Steel 150#,Valve,"CS, 150#, Flanged",NOS
CPCL,CPCL/VLV/1536,Ball Valve 50 MM Brass Screwed,Valve,"Brass, Screwed BSP",PCS
NTPC,NTPC/FLG/1541,Blind Flange 50mm 300# SS316,,"50 NB, 300#, SS316",PCS
NTPC,NTPC_VLV_1547,Plug Valve 100mm CS PTFE RF,Valve,"CS+PTFE sleeve, 150#",EA
CIL,CIL-VLV-1451,Needle VLV 25mm SS316 6000psi,Valve,"SS316, 6000 psi, NPT",EA
ONGC,ONGC_VLV_1511,BUTTERFLY VALVE 200MM CI PN16,Valve,"CI, PN16, Wafer",NOS
CIL,CIL/FLG/1454,WN Flange 100mm 150# CS,Flange,"100 NB, 150#, A105",PCS
NTPC,NTPC/FLG/1551,WN - Flange 100mm 150# CS,Flange,"100 NB, 150#, A105",NOS
ONGC,ONGC-VLV-1512,FOOT VALVE 100MM CI,Valve,"CI, Flanged, With strainer",EA
ONGC,ONGC/PIP/1517,MS PIPE 100MM NB ERW,Pipe,"100 NB, ERW, 6m",M
CPCL,CPCL_VLV_1541,Gate Valve 50 MM SS316 PN40,Valve,"SS316, PN40, Flanged RF",EA
NTPC,NTPC/VLV/1558,Foot Valve 100mm CI RF,Valve,"CI, Flanged, With strainer",EA
CPCL,CPCL/MTR/1543,Induction Motor 15kW 4P IE3,Motor,"15kW, 4P, 415V, IE3",EA
CIL,CIL_PIP_1459,SS316 Pipe 50mm NB Sch40,Pipe,"50 NB, Sch40, Seamless",NOS
NTPC,NTPC/VLV/1563,Gate Valve 150mm CS 300# RF,Valve,"CS, 300#, RTJ",PCS
SAIL,SAIL/PIP/1495,HDPE Pipe 110mm PN10,Pipe,"110mm OD, PN10, PE100",M
